PROGRAMAS IMPORTADOS;
z_sga_programas_id;cod_programa;descricao_programa;cod_modulo;descricao_modulo;especific;upc;ajuda_programa;codigo_rotina;descricao_rotina;registro_padrao;visualiza_menu;procedimento_pai;monitorado;


PROGRAMAS ELIMINADOS DO SGA;
z_sga_programas_id;cod_programa;descricao_programa;cod_modulo;descricao_modulo;especific;upc;ajuda_programa;codigo_rotina;descricao_rotina;registro_padrao;visualiza_menu;procedimento_pai;monitorado;


PROGRAMA x EMPRESA IMPORTADOS;
idGrupoPrograma;codPrograma;idEmpresa;


PROGRAMA x EMPRESA ELIMINADOS;
idGrupoPrograma;codPrograma;idEmpresa;


USUÁRIOS IMPORTADOS;
z_sga_usuarios_id;cod_usuario;nome_usuario;CPF;cod_gestor;cod_funcao;funcao;email;solicitante;gestor_usuario;gestor_grupo;gestor_programa;si;idUsrFluig;ativo;idDepartamento;


USUÁRIOS ELIMINADOS DO SGA;
z_sga_usuarios_id;cod_usuario;nome_usuario;CPF;cod_gestor;cod_funcao;funcao;email;solicitante;gestor_usuario;gestor_grupo;gestor_programa;si;idUsrFluig;ativo;idDepartamento;


USUÁRIO x EMPRESA IMPORTADOS;
idUsrEMp;cod_usuario;idEmpresa;idGestor;


USUÁRIO x EMPRESA ELIMINADOS DO SGA;
idUsrEMp;cod_usuario;idEmpresa;idGestor;ativo;


GRUPOS IMPORTADOS;
idGrupo;idLegGrupo;descAbrev;descricao;idEmpresa;


GRUPOS ELIMINADOS DO SGA;
idGrupo;idLegGrupo;descAbrev;descricao;idEmpresa;


GRUPO X USUÁRIO IMPORTADOS;
z_sga_grupos_id;cod_grupo;desc_grupo;gestor;cod_usuario;idGrupo;idUsuario;


GRUPO X USUÁRIO ELIMINADOS DO SGA;
z_sga_grupos_id;cod_grupo;desc_grupo;gestor;cod_usuario;idGrupo;idUsuario;


GRUPO X PROGRAMA IMPORTADOS;
z_sga_grupo_programa_id;cod_grupo;nome_grupo;gestor;cod_programa;idGrupo;idPrograma;
2;ASB;;super;ab0101;888;ab01012;1
3;sup;;super;ab0101;2;ab01012;1
4;Fro;;super;ab0102;73;ab01022;1
5;sup;;super;ab0102;2;ab01022;1
6;Fro;;super;ab0103;73;ab01032;1
7;sup;;super;ab0103;2;ab01032;1
8;Fro;;super;ab0104;73;ab01042;1
9;sup;;super;ab0104;2;ab01042;1
10;Fro;;super;ab0105;73;ab01052;1
11;sup;;super;ab0105;2;ab01052;1
12;Fro;;super;ab0106;73;ab01062;1
13;sup;;super;ab0106;2;ab01062;1
14;Fro;;super;ab0107;73;ab01072;1
15;sup;;super;ab0107;2;ab01072;1
16;Fro;;super;ab0108;73;ab01082;1
17;sup;;super;ab0108;2;ab01082;1
18;Fro;;super;ab0109;73;ab01092;1
19;sup;;super;ab0109;2;ab01092;1
20;Fro;;super;ab0110;73;ab01102;1
21;sup;;super;ab0110;2;ab01102;1
22;Fro;;super;ab0111;73;ab01112;1
23;sup;;super;ab0111;2;ab01112;1
24;Fro;;super;ab0112;73;ab01122;1
25;sup;;super;ab0112;2;ab01122;1
26;Fro;;super;ab0113;73;ab01132;1
27;sup;;super;ab0113;2;ab01132;1
28;Fro;;super;ab0114;73;ab01142;1
29;sup;;super;ab0114;2;ab01142;1
30;Fro;;super;ab0115;73;ab01152;1
31;sup;;super;ab0115;2;ab01152;1
32;Fro;;super;ab0116;73;ab01162;1
