z_sga_grupo_programa_id;cod_grupo;nome_grupo;gestor;cod_programa;idGrupo;idPrograma
2;sup;;super;ab0101;2;ab0101
3;sup;;super;ab0102;2;ab0102
4;sup;;super;ab0103;2;ab0103
5;sup;;super;ab0104;2;ab0104
6;sup;;super;ab0105;2;ab0105
7;sup;;super;ab0106;2;ab0106
8;sup;;super;ab0107;2;ab0107
9;sup;;super;ab0108;2;ab0108
10;sup;;super;ab0109;2;ab0109
11;sup;;super;ab0110;2;ab0110
12;sup;;super;ab0111;2;ab0111
13;sup;;super;ab0112;2;ab0112
14;sup;;super;ab0113;2;ab0113
15;sup;;super;ab0114;2;ab0114
16;sup;;super;ab0115;2;ab0115
17;sup;;super;ab0116;2;ab0116
18;sup;;super;ab0117;2;ab0117
19;sup;;super;ab0118;2;ab0118
20;sup;;super;ab0119;2;ab0119
21;sup;;super;ab0121;2;ab0121
22;sup;;super;ab0122;2;ab0122
23;sup;;super;ab0123;2;ab0123
24;sup;;super;ab0124;2;ab0124
25;sup;;super;ab0138;2;ab0138
26;sup;;super;ab0139;2;ab0139
27;sup;;super;ab0301;2;ab0301
28;sup;;super;ab0302;2;ab0302
29;sup;;super;ab0303;2;ab0303
30;sup;;super;ab0304;2;ab0304
31;sup;;super;ab0305;2;ab0305
32;sup;;super;ab0306;2;ab0306
33;sup;;super;ab0307;2;ab0307
34;sup;;super;ab0401;2;ab0401
35;sup;;super;ab0402;2;ab0402
36;sup;;super;ab0404;2;ab0404
37;sup;;super;ab0405;2;ab0405
38;sup;;super;ab0406;2;ab0406
39;sup;;super;ab0410;2;ab0410
40;sup;;super;ab0501;2;ab0501
41;sup;;super;ab0502;2;ab0502
42;sup;;super;ab0503;2;ab0503
43;sup;;super;ab0504;2;ab0504
44;sup;;super;ab0507;2;ab0507
45;sup;;super;ab0508;2;ab0508
46;sup;;super;ab0601;2;ab0601
47;sup;;super;ab0602;2;ab0602
48;sup;;super;ab0604;2;ab0604
49;sup;;super;ab0606;2;ab0606
50;sup;;super;ab0608;2;ab0608
51;sup;;super;ab0609;2;ab0609
52;sup;;super;ab0611;2;ab0611
53;sup;;super;ab0612;2;ab0612
54;sup;;super;ab0613;2;ab0613
55;sup;;super;ab0614;2;ab0614
56;sup;;super;ab0616;2;ab0616
57;sup;;super;ab0618;2;ab0618
58;sup;;super;ab0619;2;ab0619
59;sup;;super;ab0702;2;ab0702
60;sup;;super;ab0703;2;ab0703
61;sup;;super;ab0704;2;ab0704
62;sup;;super;ab0705;2;ab0705
63;sup;;super;ab0706;2;ab0706
64;sup;;super;ab0707;2;ab0707
65;sup;;super;ab0709;2;ab0709
66;sup;;super;ab0710;2;ab0710
67;*;;super;AC0120Q;1;AC0120Q
68;sup;;super;AC0120Q;2;AC0120Q
69;sup;;super;ac0301;2;ac0301
70;TTA;;super;ac0301;120;ac0301
71;sup;;super;ac0302;2;ac0302
72;TTA;;super;ac0302;120;ac0302
73;sup;;super;ac0303;2;ac0303
74;TTA;;super;ac0303;120;ac0303
75;sup;;super;ac0303a;2;ac0303a
76;TTA;;super;ac0303a;120;ac0303a
77;sup;;super;ac0304;2;ac0304
78;TTA;;super;ac0304;120;ac0304
