z_sga_grupos_id;cod_grupo;desc_grupo;gestor;cod_usuario;idGrupo;idUsuario
2;"*";"Todos os Usuários";"super";"AAlbuquerque";1;1
3;"*";"Todos os Usuários";"super";"AAlencar";1;2
4;"*";"Todos os Usuários";"super";"AAlmeida";1;3
5;"*";"Todos os Usuários";"super";"AAlves";1;4
6;"*";"Todos os Usuários";"super";"AAMartins";1;5
7;"*";"Todos os Usuários";"super";"aandrade";1;6
8;"*";"Todos os Usuários";"super";"AANunes";1;7
9;"*";"Todos os Usuários";"super";"AARAGAO";1;8
10;"*";"Todos os Usuários";"super";"AAraujo";1;9
11;"*";"Todos os Usuários";"super";"AARMedeiros";1;10
12;"*";"Todos os Usuários";"super";"aarodrigues";1;11
13;"*";"Todos os Usuários";"super";"ABanzati";1;12
14;"*";"Todos os Usuários";"super";"abas";1;13
15;"*";"Todos os Usuários";"super";"Abel";1;14
16;"*";"Todos os Usuários";"super";"ABerneira";1;15
17;"*";"Todos os Usuários";"super";"abezerra";1;16
18;"*";"Todos os Usuários";"super";"ABittencourt";1;17
19;"*";"Todos os Usuários";"super";"abneves";1;18
20;"*";"Todos os Usuários";"super";"ABRESSER";1;19
21;"*";"Todos os Usuários";"super";"abrezende";1;20
22;"*";"Todos os Usuários";"super";"ABrito";1;21
23;"*";"Todos os Usuários";"super";"ABSOUZA";1;22
24;"*";"Todos os Usuários";"super";"acajesus";1;23
25;"*";"Todos os Usuários";"super";"ACAROLINA";1;24
26;"*";"Todos os Usuários";"super";"acarvalho";1;25
27;"*";"Todos os Usuários";"super";"Acavalcante";1;26
28;"*";"Todos os Usuários";"super";"ACCalegari";1;27
29;"*";"Todos os Usuários";"super";"acdalmazio";1;28
30;"*";"Todos os Usuários";"super";"ACERDA";1;29
31;"*";"Todos os Usuários";"super";"ACfirmino";1;30
32;"*";"Todos os Usuários";"super";"acms";1;31
33;"*";"Todos os Usuários";"super";"acoliveira";1;32
34;"*";"Todos os Usuários";"super";"acorreia";1;33
35;"*";"Todos os Usuários";"super";"ACosta";1;34
36;"*";"Todos os Usuários";"super";"ACquelhas";1;35
37;"*";"Todos os Usuários";"super";"acribeiro";1;36
38;"*";"Todos os Usuários";"super";"ACristina";1;37
39;"*";"Todos os Usuários";"super";"ACruz";1;38
40;"*";"Todos os Usuários";"super";"Acsabonaro";1;39
41;"*";"Todos os Usuários";"super";"ACsantos";1;40
42;"*";"Todos os Usuários";"super";"ACSilva";1;41
43;"*";"Todos os Usuários";"super";"ACTassinari";1;42
44;"*";"Todos os Usuários";"super";"ACTavares";1;43
45;"*";"Todos os Usuários";"super";"Acte";1;44
